,Rank,Date
BOS,16,Dec-18-21
ANA,12,Dec-18-21
ARI,31,Dec-18-21
BUF,26,Dec-18-21
CAR,6,Dec-18-21
CHI,24,Dec-18-21
CGY,14,Dec-18-21
DAL,18,Dec-18-21
COL,5,Dec-18-21
EDM,15,Dec-18-21
NJD,29,Dec-18-21
NYI,30,Dec-18-21
CBJ,23,Dec-18-21
NYR,7,Dec-18-21
FLA,10,Dec-18-21
MIN,4,Dec-18-21
LAK,17,Dec-18-21
OTT,25,Dec-18-21
DET,21,Dec-18-21
MTL,32,Dec-18-21
PHI,28,Dec-18-21
NSH,11,Dec-18-21
PIT,13,Dec-18-21
SJS,22,Dec-18-21
STL,9,Dec-18-21
TBL,1,Dec-18-21
SEA,27,Dec-18-21
WPG,20,Dec-18-21
VAN,19,Dec-18-21
VGK,8,Dec-18-21
WSH,3,Dec-18-21
TOR,2,Dec-18-21
