,Rank,Date
BOS,13,Feb-12-22
ANA,16,Feb-12-22
ARI,30,Feb-12-22
BUF,31,Feb-12-22
CAR,5,Feb-12-22
CHI,27,Feb-12-22
CGY,8,Feb-12-22
DAL,15,Feb-12-22
COL,1,Feb-12-22
EDM,18,Feb-12-22
NJD,28,Feb-12-22
NYI,23,Feb-12-22
CBJ,24,Feb-12-22
NYR,7,Feb-12-22
FLA,2,Feb-12-22
MIN,4,Feb-12-22
LAK,14,Feb-12-22
OTT,25,Feb-12-22
DET,22,Feb-12-22
MTL,32,Feb-12-22
PHI,29,Feb-12-22
NSH,12,Feb-12-22
PIT,9,Feb-12-22
SJS,20,Feb-12-22
STL,10,Feb-12-22
TBL,3,Feb-12-22
SEA,26,Feb-12-22
WPG,19,Feb-12-22
VAN,21,Feb-12-22
VGK,11,Feb-12-22
WSH,17,Feb-12-22
TOR,6,Feb-12-22
