,Rank,Date
BOS,8,Mar-12-22
ANA,22,Mar-12-22
ARI,27,Mar-12-22
BUF,30,Mar-12-22
CAR,3,Mar-12-22
CHI,29,Mar-12-22
CGY,2,Mar-12-22
DAL,14,Mar-12-22
COL,21,Mar-12-22
EDM,13,Mar-12-22
NJD,26,Mar-12-22
NYI,19,Mar-12-22
CBJ,0,Mar-12-22
NYR,7,Mar-12-22
FLA,1,Mar-12-22
MIN,17,Mar-12-22
LAK,10,Mar-12-22
OTT,24,Mar-12-22
DET,28,Mar-12-22
MTL,25,Mar-12-22
PHI,32,Mar-12-22
NSH,15,Mar-12-22
PIT,5,Mar-12-22
SJS,23,Mar-12-22
STL,9,Mar-12-22
TBL,6,Mar-12-22
SEA,31,Mar-12-22
WPG,20,Mar-12-22
VAN,11,Mar-12-22
VGK,18,Mar-12-22
WSH,16,Mar-12-22
TOR,12,Mar-12-22
