,Rank,Date
BOS,10,Nov-06-21
ANA,23,Nov-06-21
ARI,31,Nov-06-21
BUF,24,Nov-06-21
CAR,3,Nov-06-21
CHI,32,Nov-06-21
CGY,5,Nov-06-21
DAL,22,Nov-06-21
COL,18,Nov-06-21
EDM,2,Nov-06-21
NJD,20,Nov-06-21
NYI,11,Nov-06-21
CBJ,14,Nov-06-21
NYR,16,Nov-06-21
FLA,1,Nov-06-21
MIN,7,Nov-06-21
LAK,25,Nov-06-21
OTT,28,Nov-06-21
DET,26,Nov-06-21
MTL,30,Nov-06-21
PHI,6,Nov-06-21
NSH,21,Nov-06-21
PIT,19,Nov-06-21
SJS,13,Nov-06-21
STL,4,Nov-06-21
TBL,9,Nov-06-21
SEA,29,Nov-06-21
WPG,15,Nov-06-21
VAN,27,Nov-06-21
VGK,17,Nov-06-21
WSH,12,Nov-06-21
TOR,8,Nov-06-21
