,Rank,Date
BOS,16,Feb-19-22
ANA,19,Feb-19-22
ARI,31,Feb-19-22
BUF,28,Feb-19-22
CAR,4,Feb-19-22
CHI,26,Feb-19-22
CGY,5,Feb-19-22
DAL,15,Feb-19-22
COL,1,Feb-19-22
EDM,11,Feb-19-22
NJD,29,Feb-19-22
NYI,23,Feb-19-22
CBJ,25,Feb-19-22
NYR,6,Feb-19-22
FLA,2,Feb-19-22
MIN,8,Feb-19-22
LAK,13,Feb-19-22
OTT,24,Feb-19-22
DET,22,Feb-19-22
MTL,32,Feb-19-22
PHI,30,Feb-19-22
NSH,14,Feb-19-22
PIT,10,Feb-19-22
SJS,21,Feb-19-22
STL,9,Feb-19-22
TBL,3,Feb-19-22
SEA,27,Feb-19-22
WPG,18,Feb-19-22
VAN,20,Feb-19-22
VGK,12,Feb-19-22
WSH,17,Feb-19-22
TOR,7,Feb-19-22
