,Rank,Date
BOS,4,Apr-02-22
ANA,27,Apr-02-22
ARI,32,Apr-02-22
BUF,20,Apr-02-22
CAR,3,Apr-02-22
CHI,26,Apr-02-22
CGY,7,Apr-02-22
DAL,16,Apr-02-22
COL,1,Apr-02-22
EDM,11,Apr-02-22
NJD,31,Apr-02-22
NYI,19,Apr-02-22
CBJ,22,Apr-02-22
NYR,5,Apr-02-22
FLA,2,Apr-02-22
MIN,9,Apr-02-22
LAK,12,Apr-02-22
OTT,28,Apr-02-22
DET,25,Apr-02-22
MTL,23,Apr-02-22
PHI,30,Apr-02-22
NSH,14,Apr-02-22
PIT,6,Apr-02-22
SJS,24,Apr-02-22
STL,13,Apr-02-22
TBL,10,Apr-02-22
SEA,29,Apr-02-22
WPG,18,Apr-02-22
VAN,21,Apr-02-22
VGK,17,Apr-02-22
WSH,15,Apr-02-22
TOR,8,Apr-02-22
