,Rank,Date
BOS,5,Apr-09-22
ANA,29,Apr-09-22
ARI,32,Apr-09-22
BUF,21,Apr-09-22
CAR,8,Apr-09-22
CHI,28,Apr-09-22
CGY,6,Apr-09-22
DAL,17,Apr-09-22
COL,1,Apr-09-22
EDM,7,Apr-09-22
NJD,31,Apr-09-22
NYI,19,Apr-09-22
CBJ,22,Apr-09-22
NYR,4,Apr-09-22
FLA,2,Apr-09-22
MIN,9,Apr-09-22
LAK,16,Apr-09-22
OTT,26,Apr-09-22
DET,24,Apr-09-22
MTL,25,Apr-09-22
PHI,30,Apr-09-22
NSH,14,Apr-09-22
PIT,11,Apr-09-22
SJS,23,Apr-09-22
STL,10,Apr-09-22
TBL,12,Apr-09-22
SEA,27,Apr-09-22
WPG,20,Apr-09-22
VAN,18,Apr-09-22
VGK,15,Apr-09-22
WSH,13,Apr-09-22
TOR,3,Apr-09-22
