,Rank,Date
BOS,19,Jan-01-22
ANA,14,Jan-01-22
ARI,31,Jan-01-22
BUF,30,Jan-01-22
CAR,2,Jan-01-22
CHI,25,Jan-01-22
CGY,13,Jan-01-22
DAL,18,Jan-01-22
COL,5,Jan-01-22
EDM,15,Jan-01-22
NJD,28,Jan-01-22
NYI,26,Jan-01-22
CBJ,23,Jan-01-22
NYR,10,Jan-01-22
FLA,9,Jan-01-22
MIN,8,Jan-01-22
LAK,16,Jan-01-22
OTT,27,Jan-01-22
DET,22,Jan-01-22
MTL,32,Jan-01-22
PHI,24,Jan-01-22
NSH,11,Jan-01-22
PIT,12,Jan-01-22
SJS,21,Jan-01-22
STL,7,Jan-01-22
TBL,4,Jan-01-22
SEA,29,Jan-01-22
WPG,20,Jan-01-22
VAN,17,Jan-01-22
VGK,6,Jan-01-22
WSH,3,Jan-01-22
TOR,1,Jan-01-22
