,Rank,Date
BOS,11,Jan-15-22
ANA,19,Jan-15-22
ARI,28,Jan-15-22
BUF,30,Jan-15-22
CAR,2,Jan-15-22
CHI,24,Jan-15-22
CGY,17,Jan-15-22
DAL,16,Jan-15-22
COL,1,Jan-15-22
EDM,22,Jan-15-22
NJD,27,Jan-15-22
NYI,25,Jan-15-22
CBJ,23,Jan-15-22
NYR,10,Jan-15-22
FLA,3,Jan-15-22
MIN,8,Jan-15-22
LAK,13,Jan-15-22
OTT,26,Jan-15-22
DET,20,Jan-15-22
MTL,32,Jan-15-22
PHI,29,Jan-15-22
NSH,12,Jan-15-22
PIT,4,Jan-15-22
SJS,18,Jan-15-22
STL,5,Jan-15-22
TBL,6,Jan-15-22
SEA,31,Jan-15-22
WPG,15,Jan-15-22
VAN,21,Jan-15-22
VGK,9,Jan-15-22
WSH,14,Jan-15-22
TOR,7,Jan-15-22
