,Rank,Date
BOS,13,Nov-27-21
ANA,15,Nov-27-21
ARI,32,Nov-27-21
BUF,27,Nov-27-21
CAR,1,Nov-27-21
CHI,25,Nov-27-21
CGY,7,Nov-27-21
DAL,18,Nov-27-21
COL,10,Nov-27-21
EDM,4,Nov-27-21
NJD,20,Nov-27-21
NYI,28,Nov-27-21
CBJ,16,Nov-27-21
NYR,9,Nov-27-21
FLA,5,Nov-27-21
MIN,8,Nov-27-21
LAK,22,Nov-27-21
OTT,30,Nov-27-21
DET,23,Nov-27-21
MTL,29,Nov-27-21
PHI,19,Nov-27-21
NSH,21,Nov-27-21
PIT,17,Nov-27-21
SJS,24,Nov-27-21
STL,11,Nov-27-21
TBL,6,Nov-27-21
SEA,26,Nov-27-21
WPG,14,Nov-27-21
VAN,31,Nov-27-21
VGK,12,Nov-27-21
WSH,2,Nov-27-21
TOR,3,Nov-27-21
