,Rank,Date
BOS,4,Mar-26-22
ANA,25,Mar-26-22
ARI,31,Mar-26-22
BUF,21,Mar-26-22
CAR,5,Mar-26-22
CHI,26,Mar-26-22
CGY,3,Mar-26-22
DAL,17,Mar-26-22
COL,2,Mar-26-22
EDM,12,Mar-26-22
NJD,29,Mar-26-22
NYI,20,Mar-26-22
CBJ,22,Mar-26-22
NYR,7,Mar-26-22
FLA,1,Mar-26-22
MIN,13,Mar-26-22
LAK,10,Mar-26-22
OTT,28,Mar-26-22
DET,27,Mar-26-22
MTL,24,Mar-26-22
PHI,30,Mar-26-22
NSH,11,Mar-26-22
PIT,6,Mar-26-22
SJS,23,Mar-26-22
STL,16,Mar-26-22
TBL,8,Mar-26-22
SEA,32,Mar-26-22
WPG,15,Mar-26-22
VAN,19,Mar-26-22
VGK,18,Mar-26-22
WSH,14,Mar-26-22
TOR,9,Mar-26-22
