,Rank,Date
BOS,8,Mar-17-22
ANA,22,Mar-17-22
ARI,24,Mar-17-22
BUF,27,Mar-17-22
CAR,6,Mar-17-22
CHI,30,Mar-17-22
CGY,3,Mar-17-22
DAL,21,Mar-17-22
COL,1,Mar-17-22
EDM,13,Mar-17-22
NJD,28,Mar-17-22
NYI,17,Mar-17-22
CBJ,20,Mar-17-22
NYR,7,Mar-17-22
FLA,2,Mar-17-22
MIN,0,Mar-17-22
LAK,15,Mar-17-22
OTT,29,Mar-17-22
DET,26,Mar-17-22
MTL,25,Mar-17-22
PHI,32,Mar-17-22
NSH,9,Mar-17-22
PIT,5,Mar-17-22
SJS,23,Mar-17-22
STL,11,Mar-17-22
TBL,4,Mar-17-22
SEA,31,Mar-17-22
WPG,19,Mar-17-22
VAN,18,Mar-17-22
VGK,16,Mar-17-22
WSH,12,Mar-17-22
TOR,10,Mar-17-22
