,Rank,Date
BOS,9,Oct-09-21
ANA,30,Oct-09-21
ARI,31,Oct-09-21
BUF,32,Oct-09-21
CAR,5,Oct-09-21
CHI,18,Oct-09-21
CGY,17,Oct-09-21
DAL,14,Oct-09-21
COL,4,Oct-09-21
EDM,11,Oct-09-21
NJD,21,Oct-09-21
NYI,3,Oct-09-21
CBJ,29,Oct-09-21
NYR,15,Oct-09-21
FLA,6,Oct-09-21
MIN,12,Oct-09-21
LAK,26,Oct-09-21
OTT,19,Oct-09-21
DET,27,Oct-09-21
MTL,20,Oct-09-21
PHI,24,Oct-09-21
NSH,22,Oct-09-21
PIT,16,Oct-09-21
SJS,28,Oct-09-21
STL,13,Oct-09-21
TBL,1,Oct-09-21
SEA,25,Oct-09-21
WPG,7,Oct-09-21
VAN,23,Oct-09-21
VGK,2,Oct-09-21
WSH,8,Oct-09-21
TOR,10,Oct-09-21
