,Rank,Date
BOS,13,Apr-23-22
ANA,27,Apr-23-22
ARI,31,Apr-23-22
BUF,20,Apr-23-22
CAR,9,Apr-23-22
CHI,29,Apr-23-22
CGY,4,Apr-23-22
DAL,17,Apr-23-22
COL,2,Apr-23-22
EDM,7,Apr-23-22
NJD,28,Apr-23-22
NYI,21,Apr-23-22
CBJ,22,Apr-23-22
NYR,5,Apr-23-22
FLA,1,Apr-23-22
MIN,8,Apr-23-22
LAK,14,Apr-23-22
OTT,24,Apr-23-22
DET,23,Apr-23-22
MTL,32,Apr-23-22
PHI,30,Apr-23-22
NSH,15,Apr-23-22
PIT,11,Apr-23-22
SJS,26,Apr-23-22
STL,6,Apr-23-22
TBL,10,Apr-23-22
SEA,25,Apr-23-22
WPG,19,Apr-23-22
VAN,18,Apr-23-22
VGK,16,Apr-23-22
WSH,12,Apr-23-22
TOR,3,Apr-23-22
