,Rank,Date
BOS,12,Dec-04-21
ANA,10,Dec-04-21
ARI,31,Dec-04-21
BUF,27,Dec-04-21
CAR,9,Dec-04-21
CHI,25,Dec-04-21
CGY,8,Dec-04-21
DAL,15,Dec-04-21
COL,13,Dec-04-21
EDM,7,Dec-04-21
NJD,24,Dec-04-21
NYI,28,Dec-04-21
CBJ,21,Dec-04-21
NYR,6,Dec-04-21
FLA,4,Dec-04-21
MIN,3,Dec-04-21
LAK,23,Dec-04-21
OTT,30,Dec-04-21
DET,16,Dec-04-21
MTL,32,Dec-04-21
PHI,26,Dec-04-21
NSH,19,Dec-04-21
PIT,17,Dec-04-21
SJS,20,Dec-04-21
STL,11,Dec-04-21
TBL,5,Dec-04-21
SEA,22,Dec-04-21
WPG,18,Dec-04-21
VAN,29,Dec-04-21
VGK,14,Dec-04-21
WSH,2,Dec-04-21
TOR,1,Dec-04-21
