,Rank,Date
BOS,10,Jan-29-22
ANA,17,Jan-29-22
ARI,30,Jan-29-22
BUF,29,Jan-29-22
CAR,2,Jan-29-22
CHI,24,Jan-29-22
CGY,14,Jan-29-22
DAL,16,Jan-29-22
COL,1,Jan-29-22
EDM,18,Jan-29-22
NJD,27,Jan-29-22
NYI,21,Jan-29-22
CBJ,26,Jan-29-22
NYR,9,Jan-29-22
FLA,3,Jan-29-22
MIN,6,Jan-29-22
LAK,15,Jan-29-22
OTT,25,Jan-29-22
DET,23,Jan-29-22
MTL,32,Jan-29-22
PHI,31,Jan-29-22
NSH,11,Jan-29-22
PIT,5,Jan-29-22
SJS,19,Jan-29-22
STL,8,Jan-29-22
TBL,4,Jan-29-22
SEA,28,Jan-29-22
WPG,20,Jan-29-22
VAN,22,Jan-29-22
VGK,12,Jan-29-22
WSH,13,Jan-29-22
TOR,7,Jan-29-22
