,Rank,Date
BOS,7,Oct-30-21
ANA,27,Oct-30-21
ARI,32,Oct-30-21
BUF,16,Oct-30-21
CAR,1,Oct-30-21
CHI,31,Oct-30-21
CGY,5,Oct-30-21
DAL,23,Oct-30-21
COL,8,Oct-30-21
EDM,3,Oct-30-21
NJD,17,Oct-30-21
NYI,12,Oct-30-21
CBJ,25,Oct-30-21
NYR,13,Oct-30-21
FLA,2,Oct-30-21
MIN,10,Oct-30-21
LAK,29,Oct-30-21
OTT,22,Oct-30-21
DET,18,Oct-30-21
MTL,30,Oct-30-21
PHI,9,Oct-30-21
NSH,24,Oct-30-21
PIT,19,Oct-30-21
SJS,14,Oct-30-21
STL,4,Oct-30-21
TBL,11,Oct-30-21
SEA,26,Oct-30-21
WPG,15,Oct-30-21
VAN,28,Oct-30-21
VGK,20,Oct-30-21
WSH,6,Oct-30-21
TOR,21,Oct-30-21
