,Rank,Date
BOS,10,Apr-16-22
ANA,28,Apr-16-22
ARI,32,Apr-16-22
BUF,23,Apr-16-22
CAR,9,Apr-16-22
CHI,27,Apr-16-22
CGY,5,Apr-16-22
DAL,14,Apr-16-22
COL,1,Apr-16-22
EDM,6,Apr-16-22
NJD,30,Apr-16-22
NYI,21,Apr-16-22
CBJ,19,Apr-16-22
NYR,4,Apr-16-22
FLA,2,Apr-16-22
MIN,8,Apr-16-22
LAK,16,Apr-16-22
OTT,25,Apr-16-22
DET,22,Apr-16-22
MTL,29,Apr-16-22
PHI,31,Apr-16-22
NSH,15,Apr-16-22
PIT,13,Apr-16-22
SJS,24,Apr-16-22
STL,7,Apr-16-22
TBL,11,Apr-16-22
SEA,26,Apr-16-22
WPG,20,Apr-16-22
VAN,18,Apr-16-22
VGK,17,Apr-16-22
WSH,12,Apr-16-22
TOR,3,Apr-16-22
