,Rank,Date
BOS,16,Jan-08-22
ANA,14,Jan-08-22
ARI,30,Jan-08-22
BUF,31,Jan-08-22
CAR,1,Jan-08-22
CHI,26,Jan-08-22
CGY,17,Jan-08-22
DAL,15,Jan-08-22
COL,2,Jan-08-22
EDM,21,Jan-08-22
NJD,25,Jan-08-22
NYI,24,Jan-08-22
CBJ,23,Jan-08-22
NYR,10,Jan-08-22
FLA,8,Jan-08-22
MIN,11,Jan-08-22
LAK,13,Jan-08-22
OTT,28,Jan-08-22
DET,22,Jan-08-22
MTL,32,Jan-08-22
PHI,27,Jan-08-22
NSH,12,Jan-08-22
PIT,4,Jan-08-22
SJS,20,Jan-08-22
STL,5,Jan-08-22
TBL,6,Jan-08-22
SEA,29,Jan-08-22
WPG,19,Jan-08-22
VAN,18,Jan-08-22
VGK,7,Jan-08-22
WSH,9,Jan-08-22
TOR,3,Jan-08-22
